rocket_family,mission,rocket,provider,year,launch_site,location,status,era
Scout X-2,P-21A,Scout X-2,National Aeronautics and Space Administration,1962,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Kosmos-2I 63S1,1MS 1,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Atlas Agena B,Midas 5,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 2,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena B,Ranger 4,Atlas Agena B,United States Air Force,1962,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,Sputnik 13,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Saturn I,Saturn SA-2,Saturn I,National Aeronautics and Space Administration,1962,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok,Zenit-2 2,Vostok,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Scout X-2,SOLRAD 4B,Scout X-2,US Navy,1962,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor Delta,Ariel 1,Thor Delta,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Agena B,Samos-E6 1,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 3,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Trailblazer 2,Trailblazer IIb,Trailblazer 2,National Aeronautics and Space Administration,1962,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,ANNA 1A,Thor DM-21 Ablestar,United States Air Force,1962,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-5 5,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-2M,DSAP-1 F1,Scout X-2M,United States Air Force,1962,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Atlas LV-3B,Mercury-Atlas 7,Atlas LV-3B,National Aeronautics and Space Administration,1962,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,Sputnik 15,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 4,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 3,Vostok 8A92,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-4 5,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena B,Samos-E6 2,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,P-102 Group 2-D 1,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta,Tiros 5,Thor Delta,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 6,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Agena D,KH-4 7,Thor Agena D,United States Air Force,1962,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-P1 1,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Thor Delta,Telstar 1,Thor Delta,United States Air Force,1962,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
X-15,Flight 62,North American X-15,United States Air Force,1962,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful,Space Race
Atlas Agena B,Samos-E6 3,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 8,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena B,Mariner 1,Atlas Agena B,United States Air Force,1962,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-4 9,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 4,Vostok 8A92,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Agena D,KH-4 10,Thor Agena D,United States Air Force,1962,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena B,Samos-E6 4,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok-K,Vostok 3,Vostok,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Vostok-K,Vostok 4,Vostok,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Kosmos-2I 63S1,Sputnik 18,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Scout X-2M,DSAP-1 F2,Scout X-2M,United States Air Force,1962,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Venera 2a,Molniya 8K78,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Atlas Agena B,Mariner 2,Atlas Agena B,United States Air Force,1962,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena D,KH-4 11 & RM 3,Thor Agena D,United States Air Force,1962,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-3A,Reentry-2,Scout X-3A,National Aeronautics and Space Administration,1962,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Molniya 8K78,Venera 2b,Molniya 8K78,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-5 6,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Venera 2c,Molniya 8K78,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-4 12,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta,Tiros 6,Thor Delta,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 5,Vostok 8A92,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor DM-21 Agena-B,Alouette 1,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Agena D,KH-4 13 & RM 4,Thor Agena D,United States Air Force,1962,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta A,Explorer 14,Thor Delta A,United States Air Force,1962,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas LV-3B,Mercury-Atlas 8,Atlas LV-3B,National Aeronautics and Space Administration,1962,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-5 7,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 6,Vostok 8A92,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Agena B,Ranger 5,Atlas Agena B,United States Air Force,1962,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-A1 1,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Molniya 8K78,Mars 1c,Molniya 8K78,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Kosmos-2I 63S1,1MS 2,Kosmos-2I 63S1,Soviet Space Program,1962,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Thor Agena D,Star-Rad,Thor Agena D,United States Air Force,1962,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta A,Explorer 15,Thor Delta A,United States Air Force,1962,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Ablestar,ANNA 1B,Thor DM-21 Ablestar,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Molniya 8K78,Mars 1,Molniya 8K78,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Molniya 8K78,Mars 2a,Molniya 8K78,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Agena-B,KH-4 14,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena B,Samos-E6 5,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Saturn I,Saturn SA-3,Saturn I,National Aeronautics and Space Administration,1962,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,KH-4 15,Thor DM-21 Agena-B,United States Air Force,1962,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Agena D,KH-4 16,Thor Agena D,United States Air Force,1962,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Agena D,Poppy 3A & 3B,Thor Agena D,United States Air Force,1962,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta B,Relay 1,Thor Delta B,United States Air Force,1962,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena D,KH-4 17,Thor Agena D,United States Air Force,1962,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-3,Explorer 16,Scout X-3,National Aeronautics and Space Administration,1962,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Atlas Agena B,Midas 6,Atlas Agena B,United States Air Force,1962,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Scout X-3,Transit-5A 1,Scout X-3,United States Air Force,1962,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 7,Vostok 8A92,Soviet Space Program,1962,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Molniya 8K78,Luna-4c,Molniya 8K78,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor Agena D,KH-4 18,Thor Agena D,United States Air Force,1963,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor DM-21 Agena-B,P-698BK Group 1-D 1,Thor DM-21 Agena-B,United States Air Force,1963,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
X-15,Flight 77,North American X-15,United States Air Force,1963,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful,Space Race
Molniya 8K78,Luna-4d,Molniya 8K78,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor Delta B,Syncom 1,Thor Delta B,United States Air Force,1963,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Scout X-3M,DSAP-1 F3,Scout X-3M,United States Air Force,1963,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4 19,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor SLV-2A Agena D,KH-6 1,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Vostok 8A92,Zenit-2 8,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Saturn I,Saturn SA-4,Saturn I,National Aeronautics and Space Administration,1963,Launch Complex 34,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor Agena D,KH-4 20,Thor Agena D,United States Air Force,1963,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Luna-4,Molniya 8K78,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Delta B,Explorer 17,Thor Delta B,United States Air Force,1963,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Scout X-3,Transit-5A 2,Scout X-3,United States Air Force,1963,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Kosmos-2I 63S1,DS-P1 2,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Kosmos-2I 63S1,Omega 1,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Vostok 8A92,Zenit-2 9,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Scout X-2M,DSAP-1 F4,Scout X-2M,United States Air Force,1963,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor Agena D,KH-5 8,Thor Agena D,United States Air Force,1963,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Vostok 8A92,Zenit-2 10,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Delta B,Telstar 2,Thor Delta B,United States Air Force,1963,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Agena B,Midas 7,Atlas Agena B,United States Air Force,1963,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas LV-3B,Mercury-Atlas 9,Atlas LV-3B,National Aeronautics and Space Administration,1963,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-6 2,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-A1 2,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Vostok 8A92,Zenit-2 11,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Kosmos-2I 63S1,DS-MT 1,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Atlas Agena B,Midas 8,Atlas Agena B,United States Air Force,1963,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor SLV-2A Agena D,KH-4 21,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok-K,Vostok 5,Vostok,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Agena D,Poppy 4A & 4B,Thor Agena D,United States Air Force,1963,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Scout X-3,Transit-5A 3,Scout X-3,United States Air Force,1963,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok-K,Vostok 6,Vostok,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Delta B,Tiros 7,Thor Delta B,United States Air Force,1963,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4 22,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
X-15,Flight 87,North American X-15,United States Air Force,1963,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful,Space Race
Scout X-4,GRS,Scout X-4,United States Air Force,1963,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Thor SLV-2A Agena B,P-698BK Group 1-D 2,Thor SLV-2A Agena B,United States Air Force,1963,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,KH-7 1,Atlas Agena D,United States Air Force,1963,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Agena D,KH-4 23,Thor Agena D,United States Air Force,1963,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena B,Midas 9,Atlas Agena B,United States Air Force,1963,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
X-15,Flight 90,North American X-15,United States Air Force,1963,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful,Space Race
Thor Delta B,Syncom 2,Thor Delta B,United States Air Force,1963,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Blue Scout Jr,OAR 22-1,Blue Scout Jr,United States Air Force,1963,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-6 3,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-P1 3,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Kosmos-2I 63S1,DS-A1 3,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
X-15,Flight 91,North American X-15,United States Air Force,1963,Edwards Air Force Base,Air launch to Suborbital flight,Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 1,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Little Joe II,QTV,Little Joe II,National Aeronautics and Space Administration,1963,Launch Complex 36,White Sands Missile Range,Launch Successful,Space Race
Thor SLV-2 Agena D,KH-5 9,Thor SLV-2 Agena D,United States Air Force,1963,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,KH-7 2,Atlas Agena D,United States Air Force,1963,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 2,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Scout X-2B,DSAP-1 F5,Scout X-2B,United States Air Force,1963,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Thor DM-21 Ablestar,Transit 5BN-1,Thor DM-21 Ablestar,United States Air Force,1963,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,Vela 1A & 1B,Atlas Agena D,United States Air Force,1963,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 13,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Kosmos-2I 63S1,DS-A1 4,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Failure,Space Race
Atlas Agena D,KH-7 3,Atlas Agena D,United States Air Force,1963,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-5 10,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Sputnik 11A59,Polyot,Sputnik 11A59,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor SLV-2 Agena D,KH-4 24 & RM 5,Thor SLV-2 Agena D,United States Air Force,1963,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Molniya 8K78,Zond-1a,Molniya 8K78,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Voskhod,Zenit-4 1,Voskhod,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Thor Delta C,Explorer 18,Thor Delta C,United States Air Force,1963,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Atlas Centaur,AC-2 Instrumentation Ring,Atlas Centaur,United States Air Force,1963,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2 Agena D,KH-4 25,Thor SLV-2 Agena D,United States Air Force,1963,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 14,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor DM-21 Ablestar,Transit-5BN 2,Thor DM-21 Ablestar,United States Air Force,1963,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,Omega 2,Kosmos-2I 63S1,Soviet Space Program,1963,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Atlas Agena D,KH-7 4,Atlas Agena D,United States Air Force,1963,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Vostok 8A92,Zenit-2 15,Vostok 8A92,Soviet Space Program,1963,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Scout X-4,Explorer 19,Scout X-4,National Aeronautics and Space Administration,1963,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta B,Tiros 8,Thor Delta B,United States Air Force,1963,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4 26,Thor SLV-2A Agena D,United States Air Force,1963,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,"Poppy 5A, 5B & 5C",Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor SLV-2 Agena D,DSAP-1 F6 & F7,Thor SLV-2 Agena D,United States Air Force,1964,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Thor Delta B,Relay 2,Thor Delta B,United States Air Force,1964,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2 Agena B,Echo 2,Thor SLV-2 Agena B,United States Air Force,1964,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Saturn I,Saturn SA-5,Saturn I,National Aeronautics and Space Administration,1964,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Vostok,Elektron-1 & 2,Vostok,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Atlas Agena B,Ranger 6,Atlas Agena B,United States Air Force,1964,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
Thor SLV-2A Agena D,KH-4A 3,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Molniya 8K78,Zond-1b,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Atlas Agena D,KH-7 5,Atlas Agena D,United States Air Force,1964,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-P1 4,Kosmos-2I 63S1,Soviet Space Program,1964,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Thor SLV-2A Agena D,P-698BK Group 1-A,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Atlas Agena D,KH-7 6,Atlas Agena D,United States Air Force,1964,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful,Space Race
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1964,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Kosmos-2I 63S1,DS-MG 1,Kosmos-2I 63S1,Soviet Space Program,1964,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful,Space Race
Thor Delta B,Beacon Explorer A,Thor Delta B,United States Air Force,1964,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure,Space Race
Molniya 8K78,Luna-5a,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Thor SLV-2A Agena D,KH-4A 4,Thor SLV-2A Agena D,United States Air Force,1964,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure,Space Race
Molniya 8K78,Zond 1c,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure,Space Race
Scout X-3,Ariel 2,Scout X-3,Science and Engineering Research Council,1964,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful,Space Race
Molniya 8K78,Zond 1,Molniya 8K78,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Vostok 8A92,Zenit-2 16,Vostok 8A92,Soviet Space Program,1964,,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful,Space Race
Titan II GLV,Gemini I,Titan II,United States Air Force,1964,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful,Space Race
